Fragen (EN);Optionen (EN)
"A Scrum Team selects a set of Product Backlog items for a Sprint Backlog with the intent to get these selected items Done by the end of the Sprint. Which three phrases best describe the purpose of a Definition of Done? 
(Choose the best three answers)";"A) It defines what it takes for an increment to be ready for release
B) It creates transparency over the work inspected in the Sprint review
C) It tracks the percentage complete of a Product Backlog item
D) It guides the Developers in creating a forecast in the Sprint Planning
E) It provides a template for elements that need to be included in the technical documentation
F) It controls whether the developers have performed their tasks"
"What are three benefits of self-management?
(Choose the best three answers)";"A) Increased self-accountability
B) Increased accuracy of estimates
C) Increased commitment
D) Increased creativity
E) Increased rule compliance"
"What is the key concern when multiple Scrum Teams are working from the same Product Backlog?
(Choose the best answer)";"A) Making sure there is enough work for everyone on each team
B) Maximizing velocity
C) Clear definition of requirements
D) Minimizing dependencies between teams
E) Meeting original scope projections"
Multiple Scrum Teams working on the same product or system all select the same Product Backlog.;"A) True
B) False"
"Why does the Product Owner want the Developer to adhere to the definition of ""Done?"" 
(choose the best answer)";"A) To be able to reprimand the Team when they don't meet their velocity Goal for the Sprint. 
B) To have complete transparency into what has been done at the end of each Sprint. 
C) To know what the Team will deliver over the next three Sprints. 
D) To predict the Team's Productivity over time."
"Every Scrum Team must have a Product Owner and a Scrum Master.
(choose the best answer)";"A) 	False, a Scrum Master is only required when asked for by the Development Team.
B) 	True, outcomes are affected by their participation and availability.
C) 	True, Each must be 100% dedicated to their Scrum Team.
D) 	False, a Product Owner can be replaced by a business analyst in the Development Team."
"What would be the main benefits of self-organization?
(Choose the best answer)";"A) Increased rule compliance, self-accountability, commitment.
B) Increased rule compliance, self-accountability, output.
C) Increased capacity, accuracy of estimates, output.
D) Increased creativity, self-accountability, commitment."
"Who does the work to make sure Product Backlog items conform to the Definition of Done?
(choose the best answer)";"A) The Quality Assurance Team
B) The Scrum Master
C) The Product Owner
D) The Developers
E) The Scrum Team"
"When does the second Sprint start?
(Choose the best answer)";"A) Once the architectural changes for the second sprint have been approved by the senior architect
B) Immediately after the first sprint
C) After the product backlog for the second sprint has been selected
D) After the customer completes acceptance testing of the first sprint"
"What is the time-box for the Sprint review?
(Choose the best answer)";"A) 2 hours for a monthly Sprint
B) 4 hours for a monthly Sprint
C) 1 day
D) 4 hours and longer as needed
E) As long as need"
"The Developers ask their Product Owner to re-order the Product Backlog. The Scrum Team is waiting for an external supplier to deliver a specific software component. Without that component there won’t be enough work in the next Sprint to occupy the full team. The Product Owner asks the Scrum Master for help. What would be good advice to give the Product Owner?
(Choose the best answer)";"A) Tell the Product Owner to re-order the Product Backlog so the work involving the external component can be planned in a separate Sprint
B) Tell the Product Owner that the Product Backlog should be ordered to maximize utilization of the Developers
C) Remind the Product Owner that their primary concern is the flow of value reflected in the ordering of the Product Backlog"
Cross-functional teams are optimized to work on one component or layer of a system only.;"A) True
B) False"
"What would be the responsibilities of a self-organizing Development Team?
(Choose the best answer)";"A) Update stakeholders on the daily progress and keep the burn-down chart updated.
B) Select the Product Backlog items for the Sprint and do the work planned in the Sprint Backlog.
C) Writing User Stories and reordering the Product Backlog.
D) Deciding on the value of the product features and value estimations."
"What are two effective ways for a Scrum Team to ensure security concerns are satisfied?
(Choose the best two answers)";"A) Delegate the work for the security department
B) Postpone the work until a specialist can perform a security audit and create a list of security-related Product Backlog items
C) Add a sprint to specifically resolve the security concerns
D) Add security concerns to the Definition of Done
E) Have the Scrum Team create Product Backlog items for each concern"
"What is the time-box for the Sprint Planning? 
(Choose the best answer)";"A) Whenever it is done
B) Monthly 
C) 8 hours for a monthly Sprint
D) 4 hours for a monthly Sprint"
"Which of these may a Scrum Team deliver at the end of a Sprint?
(Choose the best answer)";"A) Failing unit tests, to identify acceptance tests for the next Sprint.
B) A valuable, useful Increment that meets Definition of Done.
C) An increment of software with minor known bugs in it.
D) A single document, if that is what management asked for."
"The Scrum Teams should have all the skills needed to:
(Choose the best answer)";"A) Complete the project within the date and cost as calculated by the Product Owner
B) Turn Product Backlog items into an increment of potentially releasable product functionality (valuable and useful increment).
C) Do all of the development work, except for specialized testing that requires additional tools and environments"
"When multiple Scrum Teams are working on the same product, 
should all of their Increments be integrated every Sprint?
(Choose the best answer)";"A) Yes, but only for Scrum Teams whose work has dependencies.
B) Yes, in order to accurately inspect what is done.
C) No, that is far too hard and must be done in a hardening Sprint.
D) No, each Scrum Team stands alone"
"The Product Owner determines how many Product Backlog items the Developers select for a Sprint. 
(Choose the best answer)";"A) False
B) True, but only after confirmation by the resource manager that the team has enough capacity
C) False, the Scrum Master does that
D) True, accordingly to what was committed to the stakeholders
E) False, capacity and commitment are the project manager’s responsibility
F) True"
"Which of the following services is appropriate for a Scrum Master in regard to the Daily Scrum? 
(choose the best answer)";"A) Teach the Developers to keep the Daily Scrum within the 15 minute timebox.
B) All answers apply.
C) Facilitate in a way that ensures each team member has a chance to speak.
D) Ensure that all 3 questions have been answered.
E) Lead the discussions of the Developers."
Scrum is a methodology that tells in detail how to build software incrementally? ;"A) True 
B) False"
"If burndown charts are used to visualize progress, what do they track?
(Choose the best answer)";"A) Accumulated business value delivered to the customer
B) Work remaining across time
C) Individual worker productivity
D) Accumulated cost"
"Which three behaviors demonstrate that a Scrum Team is self-managing?
(Choose the best three answers)";"A) The Scrum Team members are working within the boundaries of their functional description and nicely handing off work from analyst to developer to tester to integration
B) The Scrum Team has all the skills needed to create an Increment
C) Developers collaboratively selecting their own work during the Sprint.
D) The Scrum Master is no longer needed.
E) Stakeholder are attending the Daily Scrum to check progress and work with the Scrum Master to optimize the functional scope of the Sprint.
F) The Developers creating their own Sprint Backlog, reflecting all work that is part of the definition of Done"
"Which are NOT appropriate topics for discussion in a Sprint Retrospective?
(Choose the best two answers)";"A) Arranging the Sprint Backlog for the next Sprint
B) Definition of Done
C) Team relations
D) How the team does its work
E) The value of work currently represented in the Product Backlog"
"When does a Sprint conclude? 
(choose the best answer)";"A) When the Product Owner decides enough has been delivered to meet the Sprint Goal.
B) When the Sprint Retrospective is complete.
C) When all the tasks are completed by the Developers.
D) When all Product Backlog items meet their Definition of Done."
"A Scrum Team is required to deliver a done Increment by the end of a Sprint. 
Select two statements that explain what Done means.
(Choose the best two answers)";"A) Whatever the Product Owner defines as quality.
B) No work left from the Definition of Done.
C) Ready for integration.
D) All work the Developers are willing to do.
E) All work to create useful and valuable increment."
The purpose of a sprint is to produce a done increment of working product;"A) True
B) False"
"What is the Product Owner responsible for during the Sprint Retrospective?
(Choose the best answer)";"A) Capturing requirements for the Product Backlog
B) Participating as a Scrum Team member
C) Summarizing and reporting the discussions to the stakeholders that they represents in the Scrum Team
D) The Product Owner should not take part in Sprint retrospectives"
"What is the role of Management in Scrum? 
(choose the best answer)";"A) Continually monitor staffing levels of the Scrum Team.
B) Identify and remove people that are not working hard enough.
C) Monitor the progress of the Developers on the Scrum Team.
D) Support the Product Owner with insights and information into high value product and system capabilities. Support the Scrum Master to cause organizational change that fosters empiricism, self-management, bottom-up intelligence, and intelligent product delivery."
"What factor should be considered when establishing the Sprint length?
(Choose the best answer)";"A) The need for the team to learn based on doing work and measuring results.
B) The organisation’s release schedule.
C) The frequency at which team formation can be changed.
D) The organization has mandated similar length sprints."
"The Developers has suggested to move the Daily Scrum to every other day instead of every day.
What is the most appropriate action for the Scrum Master to take?
(choose the best answer)";"A) Learn why the Developers wants this, coach the team on why the Daily Scrum is important and work with them to improve the outcome of the Daily Scrum.
B) Support the self-organizing team’s decision.
C) Have the Development Team members vote on which days the Daily Scrum should occur."
"Why should a Scrum Team adhere to its Definition of Done
(Choose the best answer)";"A) To have complete transparency into what has been done at the end of each Sprint
B) To know what the team will deliver over the next three Sprints
C) To be able to reprimand the team when they don’t meet their velocity goal for the Sprint
D) To predict the teams productivity over time"
"When is the Sprint Backlog created?
(Choose the best answer)";"A) During Sprint Planning 
B) At the beginning of the project
C) During refinement
D) During the Sprint Retrospective"
A Scrum Master fulfills the same role a traditional Project Manager;"A) True
B) False"
"Which of the following is an example of an Increment?
(Choose the best answer)";"A) A plan for the overall product release.
B) A mock-up of the product marketing materials.
C) A design for the product.
D) A product roll-out plan.
E) A valuable, useful set of products featured
F) All of the above."
"Which statement best describes the Sprint Backlog as outcome of the Sprint Planning? 
(Choose the best answer)";"A) It is a complete list of all work to be done in a sprint
B) It is ordered by the product owner
C) It is the Developers plan for the sprint 
D) Each task is estimated in hours
E) Every item has a designated owner"
"When does the next Sprint begin?
(choose the best answer)";"A) When the Product Owner is ready.
B) Next Monday.
C) Immediately following the next Sprint Planning.
D) Immediately after the conclusion of the previous Sprint."
"Why are the events held at the same time and same place? 
(choose the best answer)";"A) The consistency reduces complexity. 
B) The place can be named. 
C) The Product Owner demands it. 
D) Rooms are hard to book and this lets it be booked in advance."
"Which techniques could the Scrum Master use when the Scrum Team gets caught in an internal disagreement about which agile practices to apply?
(Choose the best two answers)";"A) Involve the complete Scrum Team in making a decision.
B) Use coaching techniques such as open questions and active listening
C) Ask an external agile coach what they recommend. 
D) Ask team members to take the issue up with the company’s Human Resources department."
"How often should Scrum Team membership change?
(choose the best answer)";"A) As needed, while taking into account a short-term reduction in productivity.
B) As needed, with no special allowance for changes in productivity.
C) Every Sprint to promote shared learning.
D) Never, it reduces productivity."
"What is the order of items in the Product Backlog? 
(choose the best answer) ";"A) The less clear items at the top I 
B) The recently added items at the top 
C) Alphabetical 
D) Less valuable and most unclear items at the bottom"
"As the Developers start work during the Sprint, they realize they have selected too much work to finish the Sprint. What should they do?
(Choose the best answer)";"A) Inform the Product Owner at the Sprint review, but prior to the demonstration.
B) Find another Scrum Team to give the excess work to.
C) Reduce the Definition of Done and get all of the Product Backlog items done by the new definition
D) As soon as possible in the Sprint, work with the Product Owner to remove some work or Product Backlog items."
"As the Sprint Planning meeting progresses, the Developers see that the workload is greater than they can handle. Which two are valid actions.
(Choose the best two answers)";"A) The Developers work overtime during this Sprint
B) The Developers ensure that the Product Owner is aware, start the Sprint, and monitor progress
C) Recruit additional Developers members before the work can begin
D) Remove or change selected Product Backlog items
E) Cancel the Sprint"
"When Developers are having trouble delivering a working increment because they don’t understand a functional requirement, what should they do?
(Choose the best answer)";"A) Partially complete the functionality, and discuss the remaining work at the Sprint review
B) Defer the work to a more appropriate Sprint 
C) Collaborate with the Product Owner to determine what is possible and acceptable
D) Add a specialist to the Developers"
"When does a Sprint end?
(Choose the best answer)";"A) When there is no work remaining in the Sprint Backlog.
B) When the time-box expires.
C) It depends on the Product Owner.
D) Immediately after the conclusion of the Sprint Review."
"What are two ways that regulatory compliance issues are dealt with in Scum?
(Choose the two best answers)";"A) They are discussed, determined, and documented before the actual feature development sprints.
B) They are addressed along with functional development of the product
C) They are added to the Product Backlog and addressed in early Sprints, while always requiring at least some business functionality, no matter how small
D) They are addressed by a separate team who is responsible for compliance issues"
"Which two things are appropriate for a Scrum Master to do if the Developers do not have the engineering tools and infrastructure to completely finish each selected Product Backlog item? 
(Choose the best two answers)";"A) Have the Developers establish a Definition of Done that is actually possible to achieve given current circumstances
B) Declare the Developers not ready for Scrum
C) Coach the Developers to improve their skills, tools and infrastructure over time and adjust the Definition of Done accordingly
D) Refocus the current Sprint on establishing the Developers infrastructure instead of delivering an increment
E) Encourage the Product Owner to accept partially done increments until the situation improves"
"Who creates the Definition of Done?
(choose the best answer)";"A) The Product Owner since they are responsible for the product's success.
B) If it is not an organizational standard, the Scrum Team must create a Definition of Done appropriate for the product.
C) The Scrum Team, in a collaborative effort where the result is the common denominator of all members' definitions.
D) The Scrum Master since they are responsible for the productivity of the Developers."
"Where should the Daily Scrum be held according to Scrum?
(Choose the best answer)";"A) 	Wherever the Development Team thinks is best.
B) 	In the coffee comer to confirm this is an informal gathering.
C) 	Around the Scrum board.
D) 	In the room that is reserved by the Scrum Master.
E) 	In a room where management can listen in."
"How do you know that a Scrum Team is cross-functional?
(Choose the best answer)";"A) Every member of the Scrum Team is able to perform every task.
B) There are no conflicts within the Scrum Team.
C) The Scrum Team has all the skills to create an increment by the end of every Sprint
D) A few of the Developers pair program and do Test Driven Development."
"A Scrum Team has been working on a product for 9 Sprints. A new Product Owner comes in, understanding he is accountable for the Product Backlog. However, he is unsure about his responsibilities. Which two activities are part of the Product Owner role according to Scrum?
(Choose the best two answers)";"A) Providing the Developers with detailed specifications
B) Describing features as use cases
C) Interacting with stakeholders
D) Creating detailed functional test cases
E) Ensuring that the most valuable functionality is produced first, at all times."
"If burndown charts are used to visualize progress, what does a trend line through a release burndown chart indicate?
(Choose the best answer)";"A) When the project will be over if the Product Owner removes work that is equal in effort to any new work that is added. 
B) The evolution of the cost spent on the project. 
C) When all work will be completed so the Scrum Team can be released for the other work.
D) When the work remaining will likely be completed if nothing changes on the Product Backlog or the Developers"
"When should a Sprint goal be created?
(Choose the best answer)";"A) At any time during the Sprint
B) It should have been created in the previous Sprint during Product Backlog refinement
C) It must be established before Sprint Planning in order to begin planning
D) During Sprint Planning
E) A Sprint goal is not mandatory in Scrum "
"The CEO asks the Developers to add a ""very important"" item to a Sprint that is in progress. 
What should the Developers do? 
(choose the best answer)";"A) Add the item to the next Sprint.
B) Inform the other members of the Scrum Team so the team can decide what to do.
C) Add the item to the current Sprint without any adjustments.
D) Add the item to the current Sprint and drop an item of equal size."
"What enhances the transparency of an increment? 
(Choose the best answer)";"A) Doing all work needed to meet the definition of done
B) Keeping track of and estimating all undone work to be completed in a separate sprint
C) Reporting sprint progress to the stakeholders daily
D) Updating sprint tasks properly in the electronic tracking tool"
"For which of the following is the Scrum Master responsible? 
(Choose the best answer)";"A) Properly adopting and using the Scrum framework
B) Managing performance of the Scrum Team
C) Keeping track of resource allocation
D) The meetings and the objectives that a Scrum Team sets for itself"
"Who starts the Daily Scrum?
(Choose the best answer)";"A) Whoever the Developers decide should start
B) The person coming in last. This encourages people to be on time and helps to stay within the time-box
C) The person who has the token
D) The Scrum Master. This ensures that the Developers have the meeting and stay within the time-box
E) The person who last broke the build"
"Which two statements best describe a Sprint Goal?
(choose the best two answers) ";"A) Sprint Goals are defined when the completed work is reviewed at the end of a Sprint.
B) Sprint Goals give the Development Teams flexibility and creativity on how to implement functionality during the Sprint.
C) During the Sprint Planning, the entire Scrum Team collaboratively crafts a Sprint Goal based on a business objective that the Product Owner would like to achieve that Sprint.
D) Sprint Goals can change as new insights emerge during the Sprint."
"Which role would know the most about the progress toward a business objective or a release, and be able to explain clearly the alternatives?
(Choose the best answer)";"A) The Product Owner
B) The Release Manager
C) The Developer
D) The Scrum Master"
"Which of the following are appropriate topics for discussion during a Sprint Retrospective?
(choose the best two answers)";"A) Documenting acceptance criteria for items in the next Sprint
B) How the team collaborates
C) Identifying high priority process improvements for the next Sprint
D) The order of items in the Product Backlog"
"Developers are self-managing, which of the following do they manage?
(Choose the best answer)";"A) Product Backlog ordering.
B) When to release, based on its progress.
C) Sprint Backlog.
D) Stakeholders for the Sprint Review.
E) Sprint length."
"Which are characteristics of the Daily Scrum?
(choose 2 best answers)";"A) Its purpose is to inspect progress toward the Sprint Goal and adapt the Sprint Backlog.
B) It is facilitated by the team lead
C) It is free from and designed to promote conversation
D) It consists of the Scrum Master asking the team for status
E) Its locatiion and time remain constant
F) It is held first thing in the morning"
"A Scrum Team is a cohesive unit of professionals that consists of which of the following?
(Choose all that apply)";"A) Customers.
B) One Product Owner.
C) Developers.
D Users.
E) One Scrum Master."
"One of the Scrum events is the Daily Scrum. What are two intended outcomes of the Daily Scrum? 
(choose the best two answers) ";"A) An updated Scrum board to make Sprint progress transparent for the Stakeholders. 
B) A status report for the upper Management indicating what each individual has done, will 
be doing, and what is impeding him/ her. 
C) An update of completed tasks and of the remaining work so the Scrum Master can plan the next day. 
D) A shared understanding of the most important work to be undertaken next to achieve the best possible progress toward the Sprint Goal. 
E) Identify new impediments for the Scrum Master to take care of."
"Which three of the following are feedback loops in Scrum
(choose the best three answers)";"A) Release Planning
B) Refinement Meeting
C) Sprint Retrospective
D) Sprint Review
E) Daily Scrum"
"A Scrum Master is introducing Scrum to a new Team. The Team has decided that a Sprint Retrospective is unnecessary. What action should the Scrum Master take?
(Choose the best answer)";"A) Consult with the Product Owner to see how they feel about the situation. 
B) Comply with the decision of the self-managing team.
C) Call a meeting between the Scrum Team and senior management.
D) Begin facilitating productive and useful Sprint Retrospectives"
"What are two ways that architecture and infrastructure are handled in Scrum?
(Choose the best two answers)";"A) They are built by a separate team through the creation of an architectural runway
B) They are implemented along with functional development of the product
C) They are discussed, determined and documented before the actual feature development Sprints
D) They are added to the Product Backlog and addressed in early Sprints while always requiring at least some business functionality, no matter how small"
"Who is part of the discussion about which Product Backlog items are selected for a Sprint?
(choose the best answer)";"A) The Developers
B) The Scrum Master
C) The Product Owner
D) The Scrum Team"
"Which statement best describes the Sprint Review? 
(choose the best answer)";"A) It is a demo at the end of the Sprint for everyone in the organization to check on the work done.
B) It is a mechanism to control Developer activity during a Sprint.
C) It is when the Scrum Team and stakeholders inspect the outcome of a Sprint and figure out what to do next."
"How should Product Backlog items be chosen when multiple Scrum Teams work from the same Product Backlog?
(Choose the best answer)";"A) The Developers pull in work in agreement with the Product Owner
B) Each Scrum Team takes an equal number of items
C) The Product Owner decides
D) The Product Owner should provide each team with its own Product Backlog
E) The Scrum Team with the highest velocity pulls Product Backlog items first"
"Whoist responsible for the sizing of Product Backlog items?
(choose the best answer)";"A) The Developers, alone.
B) The Scrum Master
C) The Developers after clarifying requirements with the Product Owner.
D) The Product Owner with input from the Developers
E) The most senior people in the organization, including architects and subject matter experts."
"Every Scrum Team should have:
(Choose the best answer)";"A) At least 1 representative from each major software engineering discipline (like QA, DEV, UX)
B) The competencies and skills needed to deliver a done increment in a Sprint
C) One lead developer and no more than 8 other members"
"What would be the best two ways to identify that a Development Team is self-organizing?
(Choose the best two answers)";"A) Management is able to know which members are working on which items.
B) Creativity thrives and new possibilities are explored.
C) The Development Team members are cross-functional and knows what it needs to do to deliver the all tasks committed to the Sprint Planning.
D) The Development Team is able to resolve internal conflicts between members in order to continue working."
"What are two responsibilities of testers on a Scrum Team?
(Choose the best two answers)";"A) Verifying the work of programmers
B) Scrum has no “tester” role
C) Finding bugs
D) Everyone in the Scrum Team is responsible for quality
E) Tracking quality metrics"
"What tactics should a Scrum Master use to divide a group of 100 people into multiple Scrum Teams?
(Choose the best answer)";"A) Ask the Product Owner to assign the people to teams.
B) Ask the people to divide themselves into teams.
C) Create teams based on their skills across multiple layers (such as database, UI, etc.)"
"Who has the final say on the order of the Product Backlog? 
(choose the best answer)";"A) The Developers.
B) The Product Owner.
C) The Scum Master.
D) The Stakeholders.
E) The CEO."
Multiple Scrum Teams working on the same product or system all select work from the same Product Backlog;"A) True
B) False"
A high performing Scrum Team will have frequent Release Sprints.;"A) True
B) False"
"The daily scrum is an event that happens every day. What would be three key concerns if the frequency were to be lowered to every two or three days?
(Choose the best three answers)";"A) Impediments are raised and resolved more slowly
B) The Sprint Backlog may become inaccurate
C) Opportunities to inspect and adapt the sprint backlog are lost
D) The scrum master loses the ability to update the Gantt chart properly
E) Too much work is spent updating the Scrum board before the meeting
F) The product owner cannot accurately report progress to the stakeholders"
"Which output from Sprint Planning provides the Scrum Team with a target and overreaching direction for the Sprint?
(Choose the best answer)";"A) The sprint backlog
B) The sprint goal
C) Sprint review minutes
D) The release plan"
"The IT manager asks the Developers for a status report describing the progress throughout the Sprint. The Developers ask the Scrum Master for advicE The Scrum Master should/will:
(Choose the best answer)";"A) Create and deliver the report to the manager herself.
B) Tell the Developers to figure it out themselves
C) Tell the Developers to fit the report into the Sprint Backlog.
D) Talk to the IT manager and explain that the progress in Scrum comes from inspecting an increment at the Sprint Review.
E) Ask the Product Owner to send the manager the report."
"Which of the following are the Developers accountable for?
(choose the best 2 answers)";"A) Selecting the Product Owner
B) Reporting productivity
C) Creating a plan for the Sprint, the Sprint Backlog.
D) Organizing the work required to meet the Sprint Goal."
"When must a Scrum Team release each Increment?
(Choose the best answer)";"A) After every Sprint, withouut exception.
B) When the Scrum Team finishes their work.
C) When it makes sense to release it.
D) Whenever the product is free of defects."
Cross-functional teams are specialized for working on specific system components (e.g. design, database, backend, frontend);"A) True
B) False"
To get started in terms of what to build, scrum requires no more than a product owner with enough ideas for a first sprint, Developers to implement those ideas and a Scrum Master to help guide the process;"A) True
B) False"
"When is a Sprint over? 
(choose the best answer)";"A) When all Product Backlog items meet their Definition of Done.
B) When the timebox expires.
C) When the Product Owner says it is done.
D) When all the tasks are completed."
"In order to achieve the benefits of Scrum, it is important to enact the value of commitment. What 
two actions demonstrate the commitment of Scrum Team members? 
(choose the best two answers)";"A) Do your best. 
B) Work late
C) Send outa daily status report. 
D) Always deliver the Items in the Sprint forecast. 
E) Help the other Scrum Team members."
"The Product Owner must release each increment to production. 
(Choose the best answer)";"A) Without exception
B) To make sure the Developers make it done every sprint
C) When it makes sense 
D) Whenever the product is free of defects"
"Who has the final decision on the order of items in the Product Backlog? 
(Choose the best answer)";"A) The Scrum Team
B) The Product Owner
C) The Scrum Master
D) The Stakeholders.
E) The Developers."
"A Sprint Retrospective should be held:
(Choose the best answer)";"A) At the beginning of each Sprint.
B) At the end of the last Sprint in a project or a release.
C) Only when the Scrum Team determines it needs one.
D) At the end of each Sprint."
"What is the role of management in Scrum?
(choose the best answer)";"A) To facilitate the Scrum Teams with insights and resources that help them improve.
B) To identify and remove people that aren’t working hard enough.
C) To continually monitor staffing levels of the Developers.
D) To monitor the Scrum Team’s productivity."
"Which Scrum Value is affected by a lack of trust in the Scrum Team?
(choose the best answer)";"A) Focus
B) Respect
C) Openness
D) Courage
E) Commitment
F) All of the above"
"When does a Developer become the sole owner of an item or task on the Sprint Backlog?
(Choose the best answer)";"A) Whenever a team member can accommodate more work.
B) During the Daily Scrum.
C) At the Sprint Planning event.
D) Never. All Sprint Backlog items are ""owned"" by the Developers on the Scrum Team."
"What is the accountability of the Product Owner during Sprint 0?
(Choose the best answer)";"A) There is no such thing as Sprint 0.
B) Create the overall release plan to ensure that organizational goals are met.
C) Determine the composition of the Scrum Team to meet the release plan.
D) Gathering, eliciting and analyzing the requirements to build the Product Backlog.
E) Make sure enough Product backlog items are refined to fill the first 3 sprints."
"Which three questions might be answered by the Developers at the Daily Scrum?
(choose the best three answers)";"A) What will I do today to help the Scrum Team meet the Sprint Goal?
B) What will I be working on tomorrow?
C) How many hours did I spend on the project yesterday?
D) How is the Sprint proceeding?
E) Why were you late?
F) Do I see any impediment that prevents me or the Developers from meeting the Sprint Goal?
G) What did I do yesterday that helped the Scrum Team meet the Sprint Goal?"
"When is a Product Backlog item considered complete?
(Choose the best answer)";"A) When the item meets the Definition of Done
B) When the item passes all acceptance criteria
C) At the end of the Sprint
D) When the item has gained product sponsor approval"
"During the Sprint, the Development Team realizes they might not be able to finish all of the items in the Sprint Backlog. What should happen?
(choose the best answer) ";"A) Product Backlog items are either ‘done’ or ‘not done.’ This helps with transparency, reduces complexity and allows for improved empiricism.
B) Continue Sprinting until the work is complete and redefine a new Sprint time-box based on the results of the current Sprint.
C) The Sprint length holds and the Development Team continuously learns what is actually possible to do within the time-box."
"During a Sprint retrospective, for what is the Scrum Master responsible?
(Choose the best answer)";"A) Prioritizing the resulting action items
B) Participating as a Scrum Team member and facilitating as requested or needed
C) Summarizing and reporting the discussions to management
D) Acting as a scribe to capture the Developer’s answers"
"Which are properties of the Daily Scrum?
(Choose the best two answers)";"A) It is fifteen minutes or less in duration.
B) It is facilitated by the team lead.
C) It is free form and designed to promote conversation.
D) It consists of the Scrum Master asking the Team members the 3 questions.
E) Its location and time remain constant.
F) It is held first thing in the morning."
"Who can prematurely cancel a Sprint?
(Choose the best answer)";"A) The Development Team
B) The Product Owner
C) The Stakeholders
D) The Scrum Master"
"Which of the following are appropriate topics for discussion during a Sprint Retrospective?
(Choose best 2 answers)";"A) How the team collaborates
B) The order of items in the Product Backlog
C) Identifying high priority process improvements for the next Sprint
D) Documenting acceptance criteria for items in the next Sprint"
"User documentation is part of your Definition of Done. However, there are not enough technical writers for all teams. Your Scrum Team does not have a technical writer. What should the Scrum Team do?
(Choose the best answer)";"A) Wait until you have a technical writer on your Scrum Team to take care of this.
B) Let the user documentation remain undone and accumulate until after the last development Sprint. It will then be done by any available technical writers.
C) The Developers on the Scrum Team should write the user documentation.
D) Form a separate team of technical writers that will work on an on-demand basis for the various Product Owners. Work order will be first in, first out."
"What are two ways a Scrum Master serves to enable effective Scrum Teams?
(choose the best two answers)";"A) By keeping high value features high in the Product Backlog.
B) By facilitating Developer decision-making.
C) By starting and ending the meetings at the proper time.
D) By removing impediments that hinder the Scrum Team."
"Who owns the Sprint Backlog?
(Choose the best answer)";"A) The Scrum Master.
B) The Product Owner.
C) The Developers"
"During the Sprint, the Scrum Master’s role is to do which two of the following:
(choose the best two answers)";"A) Assign tasks with the Scrum team
B) Facilitate inspection and adaptation opportunities as requested or needed
C) Escalate team conflicts to functional line managers
D) Monitor the progress of the Developers
E) Remove impediments
F) Ensure the Product Owner attends all Scrum events"
"Which topics should be discussed in the Sprint Review?
(choose the best answer)";"A) The Scrum process, and how it was used during the Sprint.
B) Coding and engineering practices.
C) Sprint results.
D) All of the above."
"The Scrum Master observes the Product Owner is struggling with ordering the Product Backlog. 
What is an appropriate action for the Scrum Master to take?
(Choose the best answer)";"A) Present the Product Owner with an ordered Product Backlog to use.
B) Suggest that the Developers order the Product Backlog to be sure that it is a feasible ordering of work
C) Offer the Product Owner help in understanding that the goal of ordering the Product Backlog is to maximize value. 
D) Encourage the Product Owner to work with the Developers to see which items technically are fastest to implement.
E) Suggest the Product Owner extend the Sprint, so he can have more time to order the Product Backlog"
"During the Sprint Retrospective a Scrum Team has identified several high priority process improvements. Which of the following statements is most accurate?
(choose the best answer)";"A) The Scrum Master selects the most important process improvement and places it in the Sprint Backlog
B) The Scrum Team should decline to add a process improvement to the Sprint Backlog when things are running smoothly
C) The Scrum Team may add the items to the Sprint Backlog for the next Sprint
D) The Scrum Team should choose at least one high priority process improvement to place in the Product Backlog"
"When might a Sprint be abnormally cancelled? 
(choose the best answer)";"A) When the sales department has an important new opportunity.
B) When it becomes clear that not everything will be finished by the end of the Sprint.
C) When the Sprint Goal becomes obsolete.
D) When the Developers feel that the work is too hard."
"When can a Developers cancel a Sprint? 
(Choose the best answer)";"A) When the Product Owner is absent too often
B) They can’t. Only Product Owners can cancel Sprints.
C) When functional expectations are not well understood
D) When the selected Product Backlog items for the Sprint become unachievable
E) When a technical dependency cannot be resolved"
"During Sprint Planning Meeting, the Product Owner and the Developers are unable to reach an understanding about the highest order Product Backlog items. Because of this, the Developers are unable to determine how many Product Backlog items they can forecast for the upcoming Sprint. However, the Product Owner and the Developers are able to agree on a Sprint goal. Which of the following actions should the Scrum Master support?
(Choose the best two answers)";"A) Ask everyone to take as much time as needed to analyze the Product Backlog first, and then reconvene another Sprint Planning meeting.
B) During the next Sprint Retrospective discuss why this happened and what changes will make it less likely to recur.
C) Continue the Sprint Planning event past its time box until an adequate number of Product Backlog items are well enough understood for the Developers to make a complete forecast. Then start the Sprint.
D) Cancel the Sprint. Send the entire team to an advanced Scrum training and then start a new Sprint.
E) Forecast the Product Backlog items that are most likely to meet the Sprint Goal and create the Sprint Backlog. Conclude Sprint Planning and start the development work. Continue to analyze, decompose, and create additional functionality during the Sprint."
"Which of the following is required by Scrum?
(Choose all that apply)";"A) Sprint Retrospective
B) Members must stand up at the Daily Scrum
C) Sprint burndown chart
D) Release planning
E) All of the above"
"Which two things should the Scrum Team do during the first Sprint? 
(choose the best two answers)";"A) Create at least one valuable useful increment.
B) Make up a plan for the rest of the project.
C) Analyze, describe and document the requirements for the subsequent Sprints.
D) Build at least one piece of valuable funcionality.
E) Define the major product features and a release plan architecture."
The Product Owner and Scrum Master should not be part of the Developers.;"A) True
B) False "
